fid,MEAN_X,MEAN_Y,DAUID
436,6961838.676,728446.2075,35370613
437,6984275.239,700845.5106,35370835
394,6953941.758,725904.828,35370121
395,6954387.59,726365.1649,35370122
392,6955781.805,726315.2913,35370128
393,6950865.754,727273.3358,35370241
398,6999952.46,710281.5549,35360455
399,7000696.498,705625.708,35360450
396,6953728.479,725291.3219,35370120
397,6999698.037,716047.9201,35360454
386,6952079.651,726629.6032,35370249
387,6954208.826,726662.1004,35370123
384,7000034.443,726743.799,35360301
385,6952045.052,727134.1464,35370248
390,6950819.894,727895.7161,35370243
391,6951541.222,726759.3976,35370240
388,6956105.419,726611.8275,35370129
389,6951169.282,727448.3405,35370242
410,6958794.588,708100.4992,35370718
411,6959238.904,704124.5455,35370719
408,6954553.815,708201.8194,35370714
409,6956305.484,708053.5366,35370715
414,6945526.661,717467.9231,35370700
415,6988788.238,702000.4452,35370830
412,6944922.214,717854.8985,35370701
413,6945016.807,718206.6883,35370702
402,6951061.644,714967.8436,35370712
403,6952623.713,714598.0997,35370713
400,6999258.749,729457.5244,35360448
401,7000587.794,723695.2364,35360442
406,6957452.222,709388.3625,35370716
407,6957497.572,709043.105,35370717
404,6947051.675,712755.2585,35370710
405,6948409.489,713401.4175,35370711
490,6959903.176,727506.4484,35370851
491,6959812.993,727114.9804,35370852
488,6989471.363,700836.3459,35370828
489,6989957.136,701414.118,35370829
494,6953777.751,721196.3991,35370850
495,6948457.573,726483.9427,35370181
492,6948092.195,726660.8269,35370183
493,6948154.486,726978.0437,35370184
482,6999132.033,708598.2088,35370824
483,6961167.055,729534.5216,35370603
480,6989172.427,701474.1769,35370827
481,6961306.432,729937.2597,35370602
486,6961478.771,730327.0469,35370600
487,6961704.363,729836.9218,35370601
484,7000372.554,706137.9089,35370825
485,6947041.354,727005.2602,35370189
506,6947613.012,726762.7376,35370186
507,6958249.23,727500.6397,35370062
504,6947860.638,726835.0337,35370185
505,6946212.76,702644.8737,35370728
510,6946846.78,702578.3565,35370726
511,6957956.025,726518.2404,35370060
508,6947054.703,702177.0707,35370725
509,6958366.939,727235.7093,35370063
498,6959065.487,727766.589,35370856
499,6947536.156,726612.9849,35370187
496,6959340.18,727832.4532,35370855
497,6948378.64,726751.2035,35370182
502,6960488.423,728095.0174,35370854
503,6946662.639,702705.8608,35370727
500,6960472.969,727949.502,35370853
501,6947285.969,726507.8567,35370188
458,6946198.185,702132.4756,35370736
459,6957780.835,728123.1201,35370073
456,6944930.784,700048.5342,35370739
457,6948825.673,727464.5043,35370197
462,6958259.135,729153.2943,35370072
463,6957081.041,727850.6015,35370077
460,6946188.431,701063.8451,35370737
461,6957515.767,728000.3516,35370074
450,6948908.529,727771.918,35370198
451,6993622.794,718800.8972,35370820
448,6948077.072,727174.4349,35370193
449,6999094.68,723759.5902,35370823
454,6989413.204,723342.9339,35370821
455,6948435.706,727559.1454,35370196
452,6949156.471,727596.4634,35370199
453,6946230.127,700789.0609,35370738
474,6947202.301,702031.8892,35370724
475,6956131.688,727433.7151,35370080
472,6947308.19,702747.0516,35370723
473,6961530.321,725548.3959,35370619
478,6947465.447,703297.0672,35370722
479,6988364.722,701052.1525,35370826
476,6951483.154,699477.9025,35370721
477,6956444.602,727484.9576,35370081
466,6961404.658,726330.391,35370618
467,6957191.572,727915.532,35370075
464,6957394.562,727140.2326,35370078
465,6960849.813,727125.9592,35370617
470,6955049.059,699818.9734,35370720
471,6961972.076,727468.2706,35370616
