Pop,X,Y,DAUID,Extra Time (seconds),Extra time (min)
445,6955922.695,728184.988,35370079,-199,-3.316666667
434,6982849.051,699847.5982,35370837,-676.5,-11.275
435,6980692.915,698985.4371,35370838,-676.5,-11.275
432,6945426.154,701490.3629,35370733,-238,-3.966666667
433,6960685.49,728403.0277,35370610,-302,-5.033333333
438,6961809.365,728945.866,35370614,-307.5,-5.125
439,6982869.582,701132.4545,35370836,-676.5,-11.275
436,6961838.676,728446.2075,35370613,-294,-4.9
437,6984275.239,700845.5106,35370835,-675.5,-11.25833333
394,6953941.758,725904.828,35370121,36.5,0.608333333
395,6954387.59,726365.1649,35370122,57,0.95
392,6955781.805,726315.2913,35370128,-199.5,-3.325
393,6950865.754,727273.3358,35370241,588,9.8
398,6999952.46,710281.5549,35360455,-615.5,-10.25833333
399,7000696.498,705625.708,35360450,-675.5,-11.25833333
396,6953728.479,725291.3219,35370120,148,2.466666667
397,6999698.037,716047.9201,35360454,-567.5,-9.458333333
386,6952079.651,726629.6032,35370249,368.5,6.141666667
387,6954208.826,726662.1004,35370123,173.5,2.891666667
384,7000034.443,726743.799,35360301,-532.5,-8.875
385,6952045.052,727134.1464,35370248,413.5,6.891666667
390,6950819.894,727895.7161,35370243,519,8.65
391,6951541.222,726759.3976,35370240,416.5,6.941666667
388,6956105.419,726611.8275,35370129,-245.5,-4.091666667
389,6951169.282,727448.3405,35370242,485.5,8.091666667
410,6958794.588,708100.4992,35370718,-546.5,-9.108333333
411,6959238.904,704124.5455,35370719,-551.5,-9.191666667
408,6954553.815,708201.8194,35370714,-386.5,-6.441666667
409,6956305.484,708053.5366,35370715,-452,-7.533333333
414,6945526.661,717467.9231,35370700,74.5,1.241666667
415,6988788.238,702000.4452,35370830,-676.5,-11.275
412,6944922.214,717854.8985,35370701,75.5,1.258333333
413,6945016.807,718206.6883,35370702,75,1.25
402,6951061.644,714967.8436,35370712,-254,-4.233333333
403,6952623.713,714598.0997,35370713,-386,-6.433333333
400,6999258.749,729457.5244,35360448,-532.5,-8.875
401,7000587.794,723695.2364,35360442,-533,-8.883333333
406,6957452.222,709388.3625,35370716,-501.5,-8.358333333
407,6957497.572,709043.105,35370717,-501.5,-8.358333333
404,6947051.675,712755.2585,35370710,-283.5,-4.725
405,6948409.489,713401.4175,35370711,-177.5,-2.958333333
490,6959903.176,727506.4484,35370851,-302,-5.033333333
491,6959812.993,727114.9804,35370852,-302,-5.033333333
488,6989471.363,700836.3459,35370828,-676.5,-11.275
489,6989957.136,701414.118,35370829,-676.5,-11.275
494,6953777.751,721196.3991,35370850,-315.5,-5.258333333
495,6948457.573,726483.9427,35370181,631,10.51666667
492,6948092.195,726660.8269,35370183,637,10.61666667
493,6948154.486,726978.0437,35370184,636.5,10.60833333
482,6999132.033,708598.2088,35370824,-676,-11.26666667
483,6961167.055,729534.5216,35370603,-294,-4.9
480,6989172.427,701474.1769,35370827,-675.5,-11.25833333
481,6961306.432,729937.2597,35370602,-294,-4.9
486,6961478.771,730327.0469,35370600,-294,-4.9
487,6961704.363,729836.9218,35370601,-294,-4.9
484,7000372.554,706137.9089,35370825,-642,-10.7
485,6947041.354,727005.2602,35370189,554.5,9.241666667
506,6947613.012,726762.7376,35370186,606.5,10.10833333
507,6958249.23,727500.6397,35370062,-364,-6.066666667
504,6947860.638,726835.0337,35370185,637,10.61666667
505,6946212.76,702644.8737,35370728,-312,-5.2
510,6946846.78,702578.3565,35370726,-372,-6.2
511,6957956.025,726518.2404,35370060,-363.5,-6.058333333
508,6947054.703,702177.0707,35370725,-371,-6.183333333
509,6958366.939,727235.7093,35370063,-364,-6.066666667
498,6959065.487,727766.589,35370856,-363,-6.05
499,6947536.156,726612.9849,35370187,550.5,9.175
496,6959340.18,727832.4532,35370855,-364,-6.066666667
497,6948378.64,726751.2035,35370182,637.5,10.625
502,6960488.423,728095.0174,35370854,-294,-4.9
503,6946662.639,702705.8608,35370727,-365.5,-6.091666667
500,6960472.969,727949.502,35370853,-302,-5.033333333
501,6947285.969,726507.8567,35370188,535.5,8.925
458,6946198.185,702132.4756,35370736,-312,-5.2
459,6957780.835,728123.1201,35370073,-357.5,-5.958333333
456,6944930.784,700048.5342,35370739,-223,-3.716666667
457,6948825.673,727464.5043,35370197,770.5,12.84166667
462,6958259.135,729153.2943,35370072,-319.5,-5.325
463,6957081.041,727850.6015,35370077,-381.5,-6.358333333
460,6946188.431,701063.8451,35370737,-355,-5.916666667
461,6957515.767,728000.3516,35370074,-381,-6.35
450,6948908.529,727771.918,35370198,670,11.16666667
451,6993622.794,718800.8972,35370820,-533.5,-8.891666667
448,6948077.072,727174.4349,35370193,637.5,10.625
449,6999094.68,723759.5902,35370823,-533.5,-8.891666667
454,6989413.204,723342.9339,35370821,-532.5,-8.875
455,6948435.706,727559.1454,35370196,727.5,12.125
452,6949156.471,727596.4634,35370199,720,12
453,6946230.127,700789.0609,35370738,-327,-5.45
474,6947202.301,702031.8892,35370724,-384,-6.4
475,6956131.688,727433.7151,35370080,-257,-4.283333333
472,6947308.19,702747.0516,35370723,-371,-6.183333333
473,6961530.321,725548.3959,35370619,-633.5,-10.55833333
478,6947465.447,703297.0672,35370722,-371.5,-6.191666667
479,6988364.722,701052.1525,35370826,-675.5,-11.25833333
476,6951483.154,699477.9025,35370721,-371.5,-6.191666667
477,6956444.602,727484.9576,35370081,-257.5,-4.291666667
466,6961404.658,726330.391,35370618,-469,-7.816666667
467,6957191.572,727915.532,35370075,-366,-6.1
464,6957394.562,727140.2326,35370078,-363.5,-6.058333333
465,6960849.813,727125.9592,35370617,-460,-7.666666667
470,6955049.059,699818.9734,35370720,-386.5,-6.441666667
471,6961972.076,727468.2706,35370616,-474,-7.9
468,6961585.863,729151.3686,35370615,-294,-4.9
469,6957453.345,727337.0471,35370076,-364,-6.066666667
298,6959247.597,727192.1361,35370052,-388,-6.466666667
299,6959454.679,727424.0896,35370050,-355,-5.916666667
296,6949016.41,725839.2373,35370175,594.5,9.908333333
297,6959437.934,726870.5787,35370051,-364,-6.066666667
302,6948216.204,726316.747,35370180,613,10.21666667
303,6959044.568,727162.5804,35370053,-363.5,-6.058333333
300,6958804.052,726839.409,35370055,-364,-6.066666667
301,6958768.146,726543.4863,35370056,-364,-6.066666667
290,7000324.677,708272.5946,35360352,-614,-10.23333333
291,6949111.037,725207.1772,35370170,529.5,8.825
288,6949188.4,725542.8272,35370173,576.5,9.608333333
289,6959167.013,726603.7117,35370057,-363,-6.05
294,6948669.373,725916.7366,35370177,607.5,10.125
295,6948803.353,725740.2464,35370174,580.5,9.675
292,6949380.234,724749.9501,35370171,422.5,7.041666667
293,6948754.748,726113.4241,35370176,608.5,10.14166667
314,6951227.718,724940.5541,35370161,457.5,7.625
315,6951686.959,725238.8358,35370162,430.5,7.175
312,6956565.594,730737.8155,35370284,-230.5,-3.841666667
313,6956916.632,730398.3125,35370285,-230.5,-3.841666667
318,6949959.598,725346.3797,35370166,589.5,9.825
319,6956258.093,729718.7744,35370290,-287.5,-4.791666667
316,6951074.884,725333.3284,35370160,522.5,8.708333333
317,6950416.656,724858.288,35370165,462,7.7
306,6956138.282,730790.1309,35370289,-218,-3.633333333
307,6949402.792,725070.2983,35370169,512,8.533333333
304,6958800.177,727211.3292,35370054,-363.5,-6.058333333
305,6956527.8,730345.9213,35370288,-230.5,-3.841666667
310,6956987.268,730592.3555,35370286,-230.5,-3.841666667
311,6956813.136,729864.5414,35370287,-294,-4.9
308,6949893.797,724796.8077,35370167,691,11.51666667
309,6949503.187,725233.6602,35370168,526,8.766666667
266,6953299.945,722747.9987,35370142,-171,-2.85
267,6950855.685,721269.433,35370369,93,1.55
264,6952995.481,723364.8887,35370144,-23,-0.383333333
265,6954720.041,722165.1212,35370141,-357,-5.95
270,6950556.935,722122.4798,35370364,133,2.216666667
271,6949762.107,722696.0131,35370361,66.5,1.108333333
268,6949936.305,723207.1923,35370360,59,0.983333333
269,6950223.652,722493.7183,35370363,95,1.583333333
258,6954392.434,722421.2876,35370140,-310,-5.166666667
259,6951002.198,721688.8622,35370367,103,1.716666667
256,6953036.819,728890.2624,35370262,191.5,3.191666667
257,6952485.132,729131.558,35370263,296,4.933333333
262,6953264.945,723029.9686,35370143,-127,-2.116666667
263,6950722.906,721326.8071,35370366,127,2.116666667
260,6951320.854,721121.6929,35370368,4,0.066666667
261,6950361.899,721777.6642,35370365,168,2.8
282,6955888.201,729081.4667,35370297,-272,-4.533333333
283,6955345.238,729067.9686,35370298,-151.5,-2.525
280,6948280.26,725749.1091,35370179,603,10.05
281,6956636.152,729449.888,35370292,-294.5,-4.908333333
286,6956296.34,728855.9175,35370296,-323.5,-5.391666667
287,6948741.964,725154.312,35370172,519,8.65
284,6957372.616,729281.3881,35370295,-330,-5.5
285,6957038.907,726717.9788,35370059,-346.5,-5.775
274,6955175.251,728739.834,35370299,-57,-0.95
275,6998717.084,728544.3905,35360358,-533,-8.883333333
272,6950376.902,722693.7193,35370362,134,2.233333333
273,6998809.658,728062.1174,35360357,-532.5,-8.875
278,6948417.561,726196.3014,35370178,630.5,10.50833333
279,6956252.392,729306.849,35370291,-303,-5.05
276,6956896.08,729301.4972,35370293,-322.5,-5.375
277,6957034.203,729486.4807,35370294,-310.5,-5.175
362,6953911.774,727401.2642,35370109,172.5,2.875
363,6952575.747,728150.2958,35370255,369,6.15
360,6952825.445,728440.1747,35370257,274,4.566666667
361,6953157.268,728114.9338,35370258,280.5,4.675
366,6954155.393,724166.1492,35370136,-109.5,-1.825
367,6953706.848,723311.5262,35370137,-134,-2.233333333
364,6952300.503,727991.8644,35370256,358,5.966666667
365,6953079.05,727544.9003,35370259,325.5,5.425
354,6949714.908,728378.3245,35370220,584,9.733333333
355,6954341.55,727587.913,35370108,56.5,0.941666667
352,6953894.215,728673.003,35370101,134.5,2.241666667
353,6953332.621,728457.5156,35370102,168,2.8
358,6954104.359,727760.6965,35370106,123,2.05
359,6953341.084,728663.8037,35370100,170.5,2.841666667
356,6950330.094,728395.9825,35370221,526,8.766666667
357,6953689.495,727773.0524,35370105,217,3.616666667
378,6955831.267,725976.7486,35370131,-194,-3.233333333
379,6951888.207,728161.5988,35370246,358,5.966666667
376,6952590.309,727050.4396,35370252,399,6.65
377,6956151.727,725828.5236,35370130,-249,-4.15
382,6999603.631,727473.0484,35360300,-533.5,-8.891666667
383,6951345.247,728016.2541,35370245,500,8.333333333
380,6951508.674,727501.8644,35370247,458,7.633333333
381,6950828.289,728453.7583,35370244,499.5,8.325
370,6956336.733,725393.8548,35370135,-225,-3.75
371,6952855.605,727603.1839,35370253,369.5,6.158333333
368,6952264.61,726614.6013,35370250,369,6.15
369,6954466.893,725695.9823,35370134,-5,-0.083333333
374,6952447.42,726378.6289,35370251,369,6.15
375,6954143.802,722678.4901,35370139,-254,-4.233333333
372,6952738.134,727838.9591,35370254,369.5,6.158333333
373,6953940.858,723015.1742,35370138,-198,-3.3
330,6952919.568,726645.2472,35370115,287.5,4.791666667
331,6953751.941,726663.2157,35370112,237.5,3.958333333
328,6949719.582,725667.011,35370238,623,10.38333333
329,6953144.61,727103.9301,35370114,229,3.816666667
334,6950552.12,726516.9998,35370231,609.5,10.15833333
335,6952942.447,725199.7786,35370119,222.5,3.708333333
332,6953388.078,726811.6958,35370113,229.5,3.825
333,6953219.841,725816.1743,35370118,233,3.883333333
322,6950025.753,726578.6606,35370235,680,11.33333333
323,6950107.489,725912.5236,35370236,671,11.18333333
320,6950731.989,725150.9883,35370163,566.5,9.441666667
321,6950457.841,725223.9941,35370164,484,8.066666667
326,6949582.996,726247.1269,35370239,759.5,12.65833333
327,6950612.031,725643.3083,35370237,568,9.466666667
324,6950506.137,726112.6014,35370233,600,10
325,6950248.146,726299.761,35370234,638.5,10.64166667
346,6950591.295,727084.0385,35370228,642.5,10.70833333
347,6950848.795,726748.9721,35370229,603,10.05
344,6950158.746,728103.8734,35370222,581.5,9.691666667
345,6950388.237,727634.4889,35370223,598.5,9.975
350,6953776.983,728285.7196,35370103,138,2.3
351,6953493.96,728035.3356,35370104,255,4.25
